,AF_CsPbI3,AF_FA0.25Cs0.75PbI3,AF_FA0.5Cs0.5PbI3,AF_FA0.75Cs0.25PbI3,AF_FAPbI3,TF_Cs0.25FA0.75PbI3,TF_Cs0.5FA0.5PbI3,TF_Cs0.75FA0.25PbI3,TF_CsPbI3_avg,TF_CsPbI3_black phase,TF_CsPbI3_yellow phase,TF_FAPbI3
bandgap0,2.565967436855647,2.5395222212038333,2.4614860827992704,1.9577491131732323,1.4753625070455167,1.9353644336321323,2.5731302032264556,2.5940151682884642,2.5062818193689416,1.9703768270757278,2.589251207216017,2.580391557931372
bandgap1,,,,1.4571919423304744,,1.4591186034130996,,,,1.6438925860036933,,
