wavelength,AF_CsPbI3,AF_FA0.25Cs0.75PbI3,AF_FA0.5Cs0.5PbI3,AF_FA0.75Cs0.25PbI3,AF_FAPbI3,TF_Cs0.25FA0.75PbI3,TF_Cs0.5FA0.5PbI3,TF_Cs0.75FA0.25PbI3,TF_CsPbI3_avg,TF_CsPbI3_black phase,TF_CsPbI3_yellow phase,TF_FAPbI3
867.5,1123.966148,974.030078,1131.5596,1196.61006,1325.88924,1152.9337,1181.773,1198.2338,1247.1489,1282.0,1265.0,1135.3446
869.7,1127.44484,970.728334,1134.5881,1193.1957200000002,1316.95074,1154.2234,1180.5017,1198.8673,1245.3954,1222.0,1280.0,1135.6584
871.91,1125.70684,973.946258,1140.0881,1190.81268,1307.80376,1155.3958,1180.5013,1197.493,1243.4824,1216.0,1300.0,1134.4227
874.11,1127.994028,970.554652,1132.0714,1191.3015799999998,1300.1309,1156.2589,1179.099,1194.6095,1241.4662,1296.0,1274.0,1133.4952
876.32,1133.52968,975.4257160000001,1136.5619,1197.14066,1300.7561600000001,1164.2336,1183.2189,1201.742,1245.9696,1242.0,1390.0,1140.2566
878.52,1137.57772,979.260884,1143.2047,1200.95812,1300.12292,1172.2947,1186.7605,1204.0696,1247.5454,1132.0,1313.0,1144.2231
880.73,1128.6903200000002,971.289092,1140.881,1188.9992,1286.30576,1160.8833,1176.6102,1194.7484,1236.6941,1285.0,1285.0,1134.3173
882.94,1124.30662,971.965622,1129.1881,1191.60512,1281.0530999999999,1163.6365,1177.855,1193.0,1235.2566,1149.0,1345.0,1135.9626
885.14,1124.72956,969.6799199999999,1131.3452,1189.26646,1277.7098799999999,1164.3816,1178.4102,1192.963,1232.916,1209.0,1358.0,1135.9667
887.35,1125.89216,970.639022,1132.7285,1195.02374,1277.4642,1165.4558,1176.3723,1192.0387,1231.3687,1231.0,1270.0,1135.2891
889.56,1121.761726,971.370364,1126.231,1196.4005,1276.1792,1169.4298,1176.642,1192.1992,1230.9259,1219.0,1299.0,1136.134
891.78,1132.30744,975.615574,1131.219,1205.6920599999999,1285.31914,1175.0632,1181.8798,1197.9694,1235.3995,1154.0,1359.0,1143.679
893.98,1137.42735,980.2130300000001,1135.8357,1212.8488399999999,1286.74912,1178.5316,1184.6309,1199.2689,1236.0018,1134.0,1273.0,1144.4681
896.2,1123.48682,971.782396,1132.9404,1209.87154,1282.7951,1172.548,1177.3708,1190.4807,1227.3064,1118.0,1349.0,1140.9529
898.41,1125.79429,972.075274,1129.7405,1210.80404,1281.13096,1173.1412,1176.1207,1191.1183,1226.8477,1169.0,1350.0,1138.7308
